Ключ	Название	Описание	Коллекция	Картинка
Assert	Assert	Оператор Assert проверяет условие.	Assert.RelOp	
Bitmap	Bitmap	SQL Server внутренне использует оператор Bitmap для ускорения выполнения запроса, устраняя строки с ключевыми значениями, которые не могут привести к появлению каких-либо записей при соединении.	Bitmap.RelOp	
Clustered Index Delete	Clustered Index Delete	Оператор Clustered Index Delete удаляет строки из кластеризованного индекса, заданного в столбце Аргумент плана выполнения запроса.		
Clustered Index Insert	Clustered Index Insert	Оператор Clustered Index Insert инструкции Showplan вставляет строки со своего входа в кластеризованный индекс, указанный в столбце Аргумент.		
Clustered Index Scan	Просмотр кластеризованного индекса (Clustered Index Scan)	Оператор Clustered Index Scan сканирует кластеризованный индекс, заданный в столбце Аргумент плана выполнения запроса.		
Clustered Index Seek	Поиск в кластеризованном индексе (Clustered Index Seek)	Оператор Clustered Index Seek использует поисковые возможности индексов для получения строк из кластеризованного индекса.		
Clustered Index Update	Clustered Index Update	Оператор Clustered Index Update обновляет входные строки кластеризованного индекса, указанные в столбце Argument.		
Clustered Index Merge	Clustered Index Merge			
Clustered Update	Clustered Update			
Collapse	Collapse	Оператор Collapse оптимизирует процедуру обновления.	Collapse.RelOp	
Compute Scalar	Вычисление выражения (Compute Scalar)	Оператор Compute Scalar вычисляет выражение и выдает вычисленную скалярную величину.	ComputeScalar.RelOp	
Concatenation	Concatenation	Оператор Concatenation просматривает несколько входов, возвращая каждую просмотренную строку.	Concat.RelOp	
Constant Scan	Constant Scan	Оператор Constant Scan вводит в запрос одну или несколько константных строк.		
Deleted Scan	Deleted Scan	Оператор Deleted Scan просматривает таблицу deleted в триггере.		
Filter	Фильтр (Filter)	Оператор Filter просматривает входные данные и возвращает только те строки, которые удовлетворяют критерию фильтрации (предикату), представленному в столбце Argument.	Filter.RelOp	
Generic	Generic		Generic.RelOp	
Hash Match	Hash Match	Оператор Hash Match строит хэш-таблицу при помощи вычисления хэш-значения для каждой строки из своих входных данных.	Hash.RelOp	
Index Delete	Index Delete	Оператор Index Delete удаляет входные строки из некластеризованного индекса, указанного в столбце Argument.		
Index Insert	Index Insert	Оператор Index Insert вставляет строки из входного потока в некластеризованный индекс, заданный в столбце Argument.		
Index Scan	Просмотр индекса (Index Scan)	Оператор Index Scan получает все записи некластеризованного индекса, указанного в столбце Argument.		
Index Seek	Поиск в индексе (Index Seek)	Оператор Index Seek использует возможности поиска по индексам для получения строк из некластеризованного индекса.		
Index Spool	Index Spool	Оператор Index Spool сканирует входные строки, помещая каждую строку в скрытый файл буфера (хранимый в базе данных tempdb и существующий только в течение выполнения запроса), и создает для строк некластеризованный индекс.		
Index Update	Index Update	Физический оператор Index Update обновляет строки, указанные во входных параметрах, в некластеризованном индексе, заданном в столбце Argument.		
