Имя реквизита формы	Имя события ЖР	Представление события	Уровень регистрации	Группа	
Событие_Доступ_Доступ	_$Access$_.Access	Доступ	Информация	Доступ	
Событие_Доступ_ОтказВДоступе	_$Access$_.AccessDenied	Отказ в доступе	Информация	Доступ	
Событие_Данные_Добавление	_$Data$_.New	Добавление	Информация	Данные	
Событие_Данные_Изменение	_$Data$_.Update	Изменение	Информация	Данные	
Событие_Данные_Удаление	_$Data$_.Delete	Удаление	Информация	Данные	
Событие_Данные_Проведение	_$Data$_.Post	Проведение	Информация	Данные	
Событие_Данные_ОтменаПроведения	_$Data$_.Unpost	Отмена проведения	Информация	Данные	
Событие_Данные_ИзменениеПериодаРассчитанныхИтогов	_$Data$_.TotalsPeriodUpdate	Изменение периода рассчитанных итогов	Информация	Данные	
Событие_ИБ_ИзменениеКонфигурации	_$InfoBase$_.ConfigUpdate	Изменение конфигурации	Информация	Информационная База	
Событие_ИБ_ИзменениеКонфигурацииБД	_$InfoBase$_.DBConfigUpdate	Изменение конфигурации БД	Информация	Информационная База	
Событие_ИБ_ИзменениеПараметровИБ	_$InfoBase$_.InfoBaseAdmParamsUpdate	Изменение параметов ИБ	Информация	Информационная База	
Событие_ИБ_ИзменениеРегиональныхУстановок	_$InfoBase$_.RegionalSettingsUpdate	Изменение региональных установок	Информация	Информационная База	
Событие_ИБ_ИзменениеПараметровЖурнала	_$InfoBase$_.EventLogSettingsUpdate	Изменение параметров журнала	Информация	Информационная База	
Событие_ИБ_ИзменениеГлавногоУзла	_$InfoBase$_.MasterNodeUpdate	Изменение главного узла	Информация	Информационная База	
Событие_ИБ_ТестированиеОшибка	_$InfoBase$_.TARImportant	Тестирование и исправление - ошибка	Информация	Информационная База	
Событие_ИБ_ТестированиеПредупреждение	_$InfoBase$_.TARMess	Тестирование и исправление - предупреждение	Информация	Информационная База	
Событие_ИБ_ТестированиеСообщение	_$InfoBase$_.TARInfo	Тестирование и исправление - сообщение	Информация	Информационная База	
Событие_Пользователи_Добавление	_$User$_.New	Добавление	Информация	Пользователи	
Событие_Пользователи_Изменение	_$User$_.Update	Изменение	Информация	Пользователи	
Событие_Пользователи_Удаление	_$User$_.Delete	Удаление	Информация	Пользователи	
Событие_Сеанс_Аутентификация	_$Session$_.Authentication	Аутентификация	Информация	Сеанс	
Событие_Сеанс_ОшибкаАутентификации	_$Session$_.AuthenticationError	Ошибка аутентификации	Информация	Сеанс	
Событие_Сеанс_Начало	_$Session$_.Start	Начало	Информация	Сеанс	
Событие_Сеанс_Завершение	_$Session$_.Finish	Завершение	Информация	Сеанс	
Событие_Транзакция_Начало	_$Transaction$_.Begin	Начало	Информация	Транзакция	
Событие_Транзакция_Фиксация	_$Transaction$_.Commit	Фиксация	Информация	Транзакция	
Событие_Транзакция_Отмена	_$Transaction$_.Rollback	Отмена	Информация	Транзакция	
Событие_ФоновоеЗадание_Запуск	_$Job$_.Start	Запуск	Информация	Фоновое Задание	
Событие_ФоновоеЗадание_Отмена	_$Job$_.Cancel	Отмена	Информация	Фоновое Задание	
Событие_ФоновоеЗадание_УспешноеЗавершение	_$Job$_.Succeed	Успешное завершение	Информация	Фоновое Задание	
Событие_ФоновоеЗадание_ОшибкаВыполнения	_$Job$_.Fail	Ошибка выполнения	Ошибка	Фоновое Задание	
Событие_ОшибкаВыполнения	_$PerformError$_	Ошибка выполнения	Ошибка	Прочее	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
