Имя	Представление
agentauthenticate	Аутентификация администратора центрального сервера
authenticateadmin	Аутентификация администратора информационной базы
authenticatesrvrUser	Аутентификация администратора кластера в рабочем процессе
begintransaction	Начало транзакции
changelocale	Изменение национальные настройки базы данных
committransaction	Фиксация транзакции
copymovefile	Копирование/перемещение фрагмента конфигурации между записями таблиц базы данных
createfile	Создание файла
createinfobase	Создание информационной базы
deletefile	Удаление файла
deserializetable	Восстановление данных таблицы базы данных из файла
dropinfobase	Удаление информационной базы
eraseagentuser	Удаление администратора центрального сервера
eraseibregistry	Удаление кластера
eraseregserver	Удаление рабочего сервера
erasereguser	Удаление администратора кластера
eraseserverprocess	Удаление рабочего процесса
gettransactionsplitter	Получение разделителя итогов
holdconnection	Удержание соединения
insertagentuser	Добавление администратора центрального сервера
insertibregistry	Создание кластера
insertrecords	Добавление записи в таблицу базы данных
insertregserver	Добавление рабочего сервера
insertreguser	Добавление администратора кластера
insertserverprocess	Добавление рабочего процесса
isproperlocale	Проверка национальных настроек, установленных для базы данных
killclient	Разрыв соединения клиента с кластером серверов 1С:Предприятия
lockrecord	Блокировка записи
lookuptmptable	Получение/создание временной балицы базы данных
modifyfile	Обновление файла
movefile	Перемещение файла
quickinsert	Быстрая вставка данных в таблицу базы данных
readfile	Чтение файла
regauthenticate	Аутентификация администратора кластера
restoreobject	Восстановление объект
resumeindexing	Восстановление индексирования таблиц базы данных
returntmptable	Освобождение временной таблицы базы данных
rollbacktransaction	Отмена транзакции
saveobject	Сохранение объект
searchfile	Поиск файла
securedinsert	Вставка записей с наложением ограничений доступа к данным
selectfilename	Выбор имени файла
serializetable	Сохранение данных таблицы в файл
setinfobaseconnectingdeny	Установка режима блокировки установки соединений с информационной базой
setinfobasedescr	Установка описания информационной базы
setregdescr	Установка описания кластера
setregmultiprocenable	Установка значения флага поддрержки кластером многих рабочих процессов
setregseclevel	Установка уровня безопасности кластера
setrollbackonly	Установка флага наличия в транзакции ошибки (ее можно только откатить
setserverprocesscapacity	Установка значения пропускной способности рабочего процесса
setserverprocessenable	Установка значениея флага разрешения запуска рабочего процесса
setsingleuser	Установка монопольного режима
suspendindexing	Отмена индексирования таблиц базы данных
takekeyval	Получение значения ключа записи табличной части
updateregserver	Изменение параметров рабочего сервера
xlocktables	Установка исключительной блокировки на таблицу
xlocktablesshared	Установка разделяемой блокировки на таблицу
