Имя	Представление	Описание	МинимальнаяИзданиеПлатформы
administrator	Имя администратора	Имя администратора кластера или центрального сервера	
body	Размер запроса	Размера тела запроса/ответа (в байтах)	
calls	Вызовы	Количество обращений клиентского приложения к серверному приложению через TCP	
cluster	Номер порта	Номер основного порта кластера серверов	
cn	Занятая память	Количество занятых процессом фрагментов динамической памяти на момент вывода данного события	
cnd	Занятая память (изменение)	Изменение количества занятых процессом фрагментов динамической памяти с момента вывода предыдущего события MEM	
connection	Номер соеднинения	Номер соединения с информационной базой	
context	Контекст	Контекст исполнения	
dbpid	ID сервер<->СУБД	Строковое представление идентификатора соединения сервера системы «1С:Предприятие» с сервером баз данных в терминах сервера баз данных	
DeadlockConnectionIntersections	Пары блокировки	Список пар транзакций, образующих взаимную блокировку	
descr	Описание исключения	Пояснения к программному исключению	
dumperror	Ошибка дампа	Описание ошибки, произошедшей в процессе построения дампа	
dumpfile	Имя файла с дампом	Имя файла с дампом	
duration	Длительность события	Длительность события в десятитысячных долях секунды	
err	Тип сообщения	Тип консольного сообщения: информационное (0) или об ошибке (1)	
exception	Имя исключения	Наименование программного исключения	
finish	Причина завершения	Причина завершения процесса	
func	Действия	Наименование выполняемого действия	
headers	HTTP заголовок	HTTP-заголовок запроса/ответа	
host	Компьютер	Имя компьютера	
ib	Имя ИБ	Имя информационной базы в клиент-серверном варианте	
lka	Виновник	Признак того, что поток является виновником транзакционных блокировок СУБД	
lkaid	Виновник, кем обнаружен	Список номеров запросов к СУБД, «кто кого заблокировал», обнаруживших в течение события, что поток является виновником блокировок. Например, ‘271,273,274’.	
lkato	Виновник, время	Время в секундах, прошедшее с момента обнаружения, что поток является виновником блокировок.	
lkp	Жертва	Признак того, что поток является жертвой транзакционной блокировки СУБД	
lkpid	Жертва, кем обнаружена	Список номеров запросов к СУБД, «кто кого заблокировал», обнаруживших в течение события, что поток является жертвой блокировок. Например, ‘271,273,274’.	
lkpto	Жертва, время	Время в секундах, прошедшее с момента обнаружения, что поток является жертвой блокировки	
lksrc	Жертва, виновник	Номер соединения виновника блокировки, если поток является жертвой	
InBytes	Прочитано байт с диска	Количество прочитанных за вызов данных с диска, в байтах	803005
Locks	Блокировки	Список управляемых транзакционных блокировок	
Memory	Неосвобожденная память	Объем памяти в байтах, занятой, но не освобожденной за вызов	803005
MemoryPeak	Неосвобожденная память пиковая	Объем памяти в байтах, занятой, но не освобожденной за вызов. Пиковое значение	803005
method	HTTP метод	HTTP метод обращения к ресурсу	
Module	Модуль конфигурации	Программный модуль конфигурации	
name	Имя события	Имя события	
nmb	Номер сеанса	Номер сеанса	
nparams	Количество параметров	Количество параметров оператора SQL. Параметры используются для передачи длинных двоичных данных.	
osexception	Исключение ОС	Описание исключения операционной системы	
OutBytes	Записано байт на диск	Количество записанных за вызов данных на диск, в байтах	803005
p_processname	Имя серв. контекста	Имя серверного контекста, который обычно совпадает с именем информационной базы	
phrase	Код состояния	Текстовая фраза, соответствующая коду состояния	
planSQLText	План запроса	План выполненного SQL запроса, построенный сервером баз данных (текст запроса расположен в свойстве "SQL")	802014
port	Номер осн. порта	Номер основного IP порта процесса	
Process	Имя процесса	Наименование приложения, как его представляет операционная система (имя файла загрузочного модуля приложения)	
processname	Имя процесса	Наименование приложения, как его представляет операционная система (имя файла загрузочного модуля приложения)	
Query	Текст запроса	Текст запроса на языке запросов 1С	
ref	Имя ИБ	Имя информационной базы	
Regions	Пространства	Имена пространств управляемых транзакционных блокировок	802014
Report	Имя отчета	Имя объекта метаданных выполняемого отчета	803005
rows	Получено записей	Количество полученных записей базы данных	
rowsaffected	Изменено записей	Количество измененных записей базы данных	
runas	Режим запуска	Режим запуска процесса, приложение или сервис	
sdbl	Оператор обращения к БД	Текст оператора на встроенном языке внутренней модели базы данных 1С:Предприятия (SDBL)	
ServerComputerName	Имя рабочего сервера	Имя рабочего сервера	
sessionid	Номер сеанса	Номер сеанса	
Status	Код состояния HTTP	Код состояния HTTP	
sql	Оператор SQL	Текст оператора SQL	
srcprocessname	Старое имя	Имя среды сервера на момент ее создания. Обычно определяет разделяемые данные информационной базы	
syncport	Номер вспом. порта	Номер вспомогательного IP порта процесса	
sz	Память процесса	Объем занятой процессом динамической памяти в байтах на момент вывода данного события	
szd	Память процесса (изменение)	Изменение объема занятой процессом динамической памяти в байтах с момента вывода предыдущего события MEM	
t_applicationname	Приложение соединения	Идентификатор приложения, установившего соединение	
t_clientid	TCP соединение	Номер TCP соединения между процессами системы «1С:Предприятие»	
t_computername	Компьютер соединения	Имя компьютера процесса, установившего соединение	
t_connectid	Соединение с ИБ	Номер соединения с информационной базой	
trans	Транзакция открыта	Признак того, была-ли открыта транзакция на момент начала события	
txt	Текст сообщения	Текст информационного сообщения	
uri	Ресурс	Ресурс, к которому производится обращение	
usr	Имя пользователя ИБ	Имя пользователя информационной базы	
val	Значение	Значения параметров функции администрирования кластера	
WaitConnections	Ожидания	Список соединений, с которыми идет столкновение по управляемым транзакционным блокировкам	
Level	Уровень события	Уровень важности события	
Component	Имя компоненты	Имя компоненты платформы, которой принадлежит класс, в рамках которого сгенерировано событие	
Class	Имя класса	Имя класса, в рамках которого было сгенерировано событие	
tableName	Имя таблицы		
Prm	Параметры операции		
setUnhandledExceptionFilter	Фильтр исключений	Установленный фильтр исключений	
