Имя	Представление	Описание	МинимальнаяИзданиеПлатформы	Вес
<ALL>	<Все события>	Все события технологического журнала		100
ADMIN	Административное действие	Управляющее воздействие администратора кластера серверов 1С	802	10
CALL	Входящий вызов	Входящий удаленный вызов (удаленный вызов на стороне приемника вызова)		40
CLSTR	Изменение работы кластера	Выполнение операций, изменяющих работу кластера серверов.	803005	10
CONN	Соединение с сервером	Установка или разрыв TCP-соединения между процессами 1С		30
DB2	SQL, IBM DB2	Исполнение операторов SQL СУБД IBM DB2		100
DBMSSQL	SQL, Microsoft SQL Server	Исполнение операторов SQL СУБД Microsoft SQL Server		100
DBPOSTGRS	SQL, PostgreSQL	Исполнение операторов SQL СУБД PostgreSQL		100
DBORACLE	SQL, Oracle Database	Исполнение операторов SQL СУБД Oracle Database		100
DBV8DBENG	SQL, Файловая СУБД	Исполнение операторов SQL файловой СУБД		100
EDS	Внешние источники данных	Работа с внешними источниками данных	803005	10
EXCP	Исключение	Исключительная ситуация приложения 1С, которое штатно не обрабатывается и может послужить причиной аварийного завершения серверного процесса или подсоединенного к нему клиентского процесса		10
EXCPCNTX	Контекст исключения	Событие, которые началось, но не закончились в момент возникновения нештатной ситуации		10
HASP	Обращение к HASP	Обращение к аппаратному ключу защиты (HASP)		10
LEAKS	Утечка памяти	Событие, связанное с утечкой памяти, которая может быть вызвана ошибками в коде конфигурации	802012	30
MEM	Утечка памяти сервера	Событие, связанные с увеличением объема памяти, занятой серверными процессами (ragent, rmngr, rphost). События mem могут выводиться в моменты, когла процесс сервера 1С:Предприятия не выполняет ни одного клиентского вызова и ни одного фонового/регламентного задания. Если таких моментов нет, то событие mem может не выводиться. События mem могут выводиться в клиентском приложении только в процессе отладки, когда отладчик и предмет отладки выполняют вызовы друг друга с целью управления отладкой.		10
PROC	Процесс	Событие, относящееся к процессу целиком и влияющие на дальнейшую работоспособность процесса. Например: старт, завершение, аварийное завершение и т. п.		10
QERR	Ошибка запроса	Событие, связанное с обнаружением ошибок компиляции запроса или ограничением на уровне записей и полей базы данных		10
SCALL	Исходящий вызов	Исходящий удаленный вызов (исходящий вызов на стороне источника вызова).		60
SCOM	Серверный контекст	Событие создания или удаления серверного контекста, обычно связанного с информационной базой.		10
SDBL	Запрос к базе данных	Исполнение запросов к модели базы данных 1С	802	80
SESN	Сеанс	Действие, относящиеся к сеансу работы. Например: начало сеанса, окончание сеанса и т. д.		10
TLOCK	Блокировка	Управление транзакционными блокировками в Управляемом режиме		30
TDEADLOCK	Взаимоблокировка	Обнаружена взаимоблокировка в Управляемом режиме	802014	10
TTIMEOUT	Таймаут	Превышено максимальное время ожидания транзакционной блокировки	802014	10
VRSCACHE	Кеш http	Работа кеша серверных вызовов		10
VRSREQUEST	Запрос к серверу	Запрос к серверу за некоторым ресурсом		40
VRSRESPONSE	Ответ сервера	Ответ сервера		40
SYSTEM	Системные события	Системные события механизмов платформы, предназначенные для анализа сотрудниками 1С		30
SRVC	События сервисов кластера	Операции с сервисами кластера: запуск, остановка и различные оповещения	803005	10
