Английский	Русский
ALL	ВСЕ
ALLOWED	РАЗРЕШЕННЫЕ
AND	И
AS	КАК
ASC	ВОЗР
AUTOORDER	АВТОУПОРЯДОЧИВАНИЕ
AVG	СРЕДНЕЕ
BEGINOFPERIOD	НАЧАЛОПЕРИОДА
BETWEEN	МЕЖДУ
BOOLEAN	БУЛЕВО
CASE	ВЫБОР
CAST	ВЫРАЗИТЬ
COUNT	КОЛИЧЕСТВО
DATE	ДАТА
DATEADD	ДОБАВИТЬКДАТЕ
DATEDIFF	РАЗНОСТЬДАТ
DATETIME	ДАТАВРЕМЯ
DAY	ДЕНЬ
DAYOFWEEK	ДЕНЬНЕДЕЛИ
DAYOFYEAR	ДЕНЬГОДА
DESC	УБЫВ
DISTINCT	РАЗЛИЧНЫЕ
DROP	УНИЧТОЖИТЬ
ELSE	ИНАЧЕ
END	КОНЕЦ
ENDOFPERIOD	КОНЕЦПЕРИОДА
ESCAPE	СПЕЦСИМВОЛ
FALSE	ЛОЖЬ
FOR	ДЛЯ
FROM	ИЗ
FULL	ПОЛНОЕ
GROUP	СГРУППИРОВАТЬ
HAVING	ИМЕЮЩИЕ
HIERARCHY	ИЕРАРХИИ
HIERARCHYIN	ИЕРАРХИИ
HIERARCHYON	ИЕРАРХИЯ
HOUR	ЧАС
IN	В
INDEX	ИНДЕКСИРОВАТЬ
INNER	ВНУТРЕННЕЕ
INTO	ПОМЕСТИТЬ
IS	ЕСТЬ
ISNULL	ЕСТЬNULL
JOIN	СОЕДИНЕНИЕ
LEFT	ЛЕВОЕ
LIKE	ПОДОБНО
MAX	МАКСИМУМ
MIN	МИНИМУМ
MINUTE	МИНУТА
MONTH	МЕСЯЦ
NOT	НЕ
NULL	NULL
NUMBER	ЧИСЛО
BY	ПО
ON	ПО
ONLY	ТОЛЬКО
OR	ИЛИ
ORDER	УПОРЯДОЧИТЬ
OUTER	ВНЕШНЕЕ
PERIODS	ПЕРИОДАМИ
PRESENTATION	ПРЕДСТАВЛЕНИЕ
PRESENTATIONREFS	ПРЕДСТАВЛЕНИЕССЫЛКИ
QUARTER	КВАРТАЛ
REFS	ССЫЛКА
RIGHT	ПРАВОЕ
SECOND	СЕКУНДА
SELECT	ВЫБРАТЬ
STRING	СТРОКА
SUBSTRING	ПОДСТРОКА
SUM	СУММА
THEN	ТОГДА
TOP	ПЕРВЫЕ
TOTALS	ИТОГИ
TRUE	ИСТИНА
TYPE	ТИП
UNDEFINED	НЕОПРЕДЕЛЕНО
UNION	ОБЪЕДИНИТЬ
UPDATE	ИЗМЕНЕНИЯ
VALUE	ЗНАЧЕНИЕ
VALUETYPE	ТИПЗНАЧЕНИЯ
WEEK	НЕДЕЛЯ
WHEN	КОГДА
WHERE	ГДЕ
YEAR	ГОД
Field	Поле
Table	Таблица
Parameter	Параметр
