Имя	Групповая	ПоддерживаемыеТипыТаблиц
Записать	Ложь	СсылочныйОбъект,НесчитанныйНаборЗаписей,СчитанныйНаборЗаписей
ИзменитьРегистрирациюНаУзле	Ложь	Ссылка,СсылочныйОбъект,НесчитанныйНаборЗаписей,СчитанныйНаборЗаписей
ПеренумерацияОбъектов	Истина	СсылочныйОбъект
ИзменитьПометкуНаУдаление	Ложь	СсылочныйОбъект
ПровестиДокументы	Ложь	ДокументОбъект
ПроизвольныйАлгоритм	Ложь	Ссылка,СсылочныйОбъект,ТабличнаяЧастьСтрока,НесчитанныйНаборЗаписей,СчитанныйНаборЗаписей,РегистрЗапись
Удалить	Ложь	СсылочныйОбъект,ТабличнаяЧастьСтрока,РегистрЗапись
УстановкаРеквизитов	Ложь	СсылочныйОбъект,ТабличнаяЧастьСтрока,РегистрЗапись
ОтменитьПроведениеДокументов	Ложь	ДокументОбъект
ВыгрузкаВФайл	Ложь	Ссылка,СсылочныйОбъект,НесчитанныйНаборЗаписей,СчитанныйНаборЗаписей
