ПолноеИмя	Синоним	ИмяКартинки	Видимость
			Булево
Обработка.ирИнтерфейснаяПанель	Интерфейсная панель (ИР)	ирИнтерфейснаяПанель	1
Разделитель	---------- Разделитель ----------		1
Обработка.ирКонсольЗапросов	Консоль запросов (ИР)	ирКонсольЗапросов	1
Обработка.ирКонсольПостроителейОтчетов	Консоль построителей отчетов (ИР)	ирКонсольПостроителейОтчетов	1
Отчет.ирКонсольКомпоновокДанных	Консоль компоновок данных (ИР)	ирКонсольКомпоновокДанных	1
ирОбщий.ОтладитьОтложенныйОбъектЛкс	Отладить отложенный объект (ИР)	ирОтладка	1
Разделитель	---------- Разделитель ----------		1
Обработка.ирИсследовательОбъектов	Исследователь объектов (ИР)	ирИсследовать	1
Обработка.ирКонсольКода	Консоль кода (ИР)	ирКонсольКода	1
Разделитель	---------- Разделитель ----------		1
Обработка.ирРедакторПараметровСеанса	Редактор параметров сеанса (ИР)	ирПаметрСеанса82	1
Обработка.ирРедакторКонстант	Редактор констант (ИР)	ирКонстанты	1
Обработка.ирРедакторОбъектаБД	Редактор объекта БД (ИР)	ирРедактироватьОбъектБД	1
Обработка.ирДинамическийСписок	Динамический список (ИР)	ирСписокЗначений	1
Обработка.ирРедакторИзмененийПоПлануОбмена	Редактор изменений на узле (ИР)	ирИзмененияНаУзле	1
Обработка.ирКонсольЗаданий	Консоль заданий (ИР)	УстановитьВремя	1
Обработка.ирРедакторПользователей	Список пользователей (ИР)	ирПользователи	1
Обработка.ирРедакторХранилищНастроек	Редактор хранилищ настроек (ИР)	ХранилищеНастроек	1
Разделитель	---------- Разделитель ----------		1
ирОбщий.ОткрытьОтладчикЛкс	Открыть отладчик	ирКонфигуратор1С8	1
Обработка.ирМенеджерИнтерфейсов	Менеджер интерфейсов (ИР)	ирПереключитьИнтерфейс	1
Обработка.ирВыгрузкаЗагрузкаДанныхЧерезФайл	Выгрузка/загрузка данных через файл (ИР)	ирВыгрузкаЗагрузка	1
Обработка.ирПодборИОбработкаОбъектов	Подбор и обработка объектов БД (ИР)	ирОбработкаОбъектов	1
Обработка.ирПоискДублейИЗаменаСсылок	Поиск дублей и замена ссылок (ИР)	ирПоискИЗаменаДублей	1
Обработка.ирПоискСсылокНаОбъект	Поиск ссылок на объект (ИР)	ирПоискСсылокНаОбъект	1
Обработка.ирПодготовкаБазыДанныхКУсечениюТипов	Проверка базы данных перед усечением типов (ИР)	ирУсечениеТипов	1
ирОбщий.ОткрытьАдминистративнаяРегистрацияCOMЛкс	Регистрация COM компонент (ИР)	ирCOM	1
Разделитель	---------- Разделитель ----------		1
Обработка.ирТестированиеМетаданных	Тестирование метаданных (ИР)	ирТестирование	1
Обработка.ирАнализЖурналаРегистрации	Анализ журнала регистрации (ИР)	ирЖурнал	1
Обработка.ирНастройкаЖурналаРегистрации	Настройка журнала регистрации (ИР)	ирНастройкаЖурналаРегистрации	1
Обработка.ирАнализТехноЖурнала	Анализ техножурнала (ИР)	ирТехноЖурнал	1
Обработка.ирНастройкаТехножурнала	Настройка техножурнала (ИР)	ирНастройкаТехножурнала	1
Разделитель	---------- Разделитель ----------		1
Обработка.ирСинтаксПомощник	Синтакс помощник (ИР)	ирСинтаксПомощник	1
